"","word","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"218","clase",2.4,2.2,2.6,0.5477,0.4472,0.8944,"sustantivo"
"219","político",1.8,2.4,1.6,0.4472,0.5477,0.8944,"adjetivo"
"220","internacional",2.2,1.8,2,0.4472,0.4472,1,"adjetivo"
"221","especial",2.6,1.8,2.4,0.5477,0.8367,0.8944,"adjetivo"
"222","sentimiento",2.4,2,2.2,0.5477,1,0.8367,"sustantivo"
"223","alto",2.2,1.8,2.6,0.4472,0.8367,0.8944,"adjetivo"
"224","nivel",2.2,2.2,2.4,0.4472,0.4472,0.8944,"sustantivo"
"225","árbol",2.6,1.6,3,0.5477,0.5477,0,"sustantivo"
"226","disco",2.4,2,3,0.5477,0.7071,0,"sustantivo"
"227","pensamiento",2.6,2.4,2,0.5477,0.8944,1,"sustantivo"
"228","cama",2.6,1.8,3,0.5477,0.8367,0,"sustantivo"
"229","extraño",2.2,1.8,2.2,0.4472,0.8367,0.8367,"adjetivo"
"230","superficie",2.2,1.6,2.6,0.4472,0.5477,0.8944,"sustantivo"
"231","actividad",2.6,2.8,2.4,0.5477,0.4472,0.8944,"sustantivo"
"232","programa",2,2.6,2.2,0,0.5477,0.8367,"sustantivo"
"233","edificio",2,1.2,3,0,0.4472,0,"sustantivo"
"234","estación",2.3333,1.5,2.6667,0.5164,0.5477,0.8165,"sustantivo"
"235","hecho",2.1667,2.1667,1.6667,0.4082,0.7528,0.8165,"sustantivo"
"236","mundial",2.3333,2.1667,2.5,0.5164,0.9832,0.8367,"adjetivo"
"237","suelo",2.5,2,3,0.5477,0.6325,0,"sustantivo"
"238","oficina",2.2,2,3,0.4472,0.7071,0,"sustantivo"
"239","ventana",2.8,1.6,3,0.4472,0.5477,0,"sustantivo"
"240","empresa",2,2.4,2.6,0,0.8944,0.8944,"sustantivo"
"241","éxito",2.8,2.6,2.8,0.4472,0.5477,0.4472,"sustantivo"
"242","ley",2,2.8,2.8,0,0.4472,0.4472,"sustantivo"
"243","compañía",3,3,3,0,0,0,"sustantivo"
"244","instante",2.4,2,2.8,0.5477,0,0.4472,"sustantivo"
"245","sociedad",2.6,2.6,2.8,0.5477,0.5477,0.4472,"sustantivo"
"246","versión",2,2,1.8,0,0,0.8367,"sustantivo"
"247","lengua",2.2,2.8,2.8,0.4472,0.4472,0.4472,"sustantivo"
"248","uso",2,2.6,2.4,0.7071,0.5477,0.8944,"sustantivo"
"249","cantón",2.2,1.8,2.2,0.4472,0.4472,0.8367,"sustantivo"
"250","vivo",2.5,2.8333,2.6667,0.5477,0.4082,0.5164,"adjetivo"
"251","territorio",2.1667,1.6667,2.8333,0.4082,0.5164,0.4082,"sustantivo"
"252","luna",2.8333,1.6667,3,0.4082,0.5164,0,"sustantivo"
"253","vuelta",2.1667,2.5,2.5,0.4082,0.5477,0.5477,"sustantivo"
"254","destino",2.4,2,2.2,0.5477,1,0.8367,"sustantivo"
"255","hoja",2.4,1.8,3,0.5477,0.4472,0,"sustantivo"
"256","sombra",2.4,1.8,3,0.5477,0.4472,0,"sustantivo"
"257","diverso",2.4,2.2,2.2,0.5477,0.8367,0.8367,"adjetivo"
"258","base",2,2,2.2,0,0,0.8367,"sustantivo"
"259","público",2.4,2.4,2.8,0.8944,0.5477,0.4472,"adjetivo"
"260","libre",2.8,2.6,2.2,0.4472,0.5477,1.0954,"adjetivo"
"261","batalla",1.4,2.8,2.8,0.5477,0.4472,0.4472,"sustantivo"
"262","fondo",2,1.6,2.8,0.7071,0.5477,0.4472,"sustantivo"
"263","millón",2,2,2.2,0,0,0.8367,"sustantivo"
"264","fuego",2.8,3,3,0.4472,0,0,"sustantivo"
"265","flor",3,2.2,3,0,0.4472,0,"sustantivo"
